Location,Day,Hour,Weather,Exam_Week,Event_Day,Previous_Crowd,Crowd_Level
Main Block,Wednesday,13,Rain,Yes,No,Low,Low
Canteen,Wednesday,19,Normal,No,No,Medium,High
Library,Thursday,20,Rain,No,No,Low,Low
Sports Complex,Friday,7,Normal,No,Yes,Low,Medium
Main Block,Saturday,13,Normal,No,No,Low,Low
Library,Thursday,11,Normal,No,No,Low,Low
Main Block,Wednesday,20,Rain,Yes,No,Low,Low
Cafeteria,Thursday,11,Rain,No,No,Low,Low
Cafeteria,Wednesday,19,Rain,No,No,Low,Medium
Canteen,Wednesday,15,Normal,No,No,Low,Low
Library,Tuesday,13,Normal,No,No,Low,Medium
Canteen,Monday,16,Normal,No,No,Low,Low
Canteen,Thursday,14,Normal,No,No,Low,Medium
Canteen,Saturday,13,Hot,No,No,Medium,Medium
Main Block,Wednesday,18,Normal,No,No,Low,Medium
Cafeteria,Monday,11,Hot,No,No,Low,High
Cafeteria,Thursday,16,Normal,Yes,No,Low,Low
Canteen,Thursday,8,Normal,No,No,Low,Medium
Canteen,Saturday,13,Rain,Yes,No,Medium,Medium
Cafeteria,Wednesday,14,Normal,No,No,Low,Medium
Main Block,Friday,15,Normal,Yes,No,Low,Medium
Main Block,Monday,9,Hot,No,Yes,Low,High
Main Block,Friday,21,Hot,No,No,Low,Low
Canteen,Monday,11,Normal,No,No,Low,Low
Sports Complex,Wednesday,14,Rain,No,No,Low,Medium
Library,Saturday,11,Normal,Yes,No,Low,Medium
Cafeteria,Friday,7,Normal,No,No,Low,Low
Canteen,Tuesday,9,Normal,No,Yes,Medium,High
Cafeteria,Tuesday,19,Rain,No,Yes,Medium,High
Bus Stop,Thursday,19,Hot,No,No,Medium,High
Cafeteria,Monday,17,Normal,No,No,Low,Medium
Bus Stop,Friday,9,Normal,Yes,No,Low,Low
Cafeteria,Thursday,20,Normal,No,No,Low,Low
Sports Complex,Wednesday,20,Normal,No,No,Low,Medium
Canteen,Thursday,12,Rain,No,Yes,Medium,High
Library,Monday,9,Normal,Yes,Yes,High,High
Cafeteria,Thursday,19,Normal,No,No,Low,Medium
Library,Tuesday,12,Normal,No,No,Low,Medium
Main Block,Monday,13,Normal,No,No,Low,Medium
Main Block,Thursday,20,Rain,Yes,No,Low,Low
Bus Stop,Wednesday,17,Normal,Yes,No,Medium,High
Bus Stop,Wednesday,16,Normal,No,No,Low,Medium
Sports Complex,Wednesday,18,Normal,No,No,Medium,Medium
Cafeteria,Tuesday,11,Rain,Yes,No,Low,Low
Canteen,Friday,15,Hot,Yes,No,Low,Medium
Main Block,Friday,8,Hot,No,No,Low,Low
Cafeteria,Thursday,14,Normal,No,No,Medium,Medium
Sports Complex,Monday,13,Normal,Yes,No,Medium,Medium
Cafeteria,Tuesday,18,Rain,No,No,Low,Medium
Canteen,Saturday,20,Normal,No,No,Low,Low
Main Block,Wednesday,9,Hot,No,No,Low,Medium
Cafeteria,Monday,12,Normal,No,Yes,High,High
Library,Wednesday,11,Normal,No,No,Low,Low
Sports Complex,Tuesday,13,Rain,Yes,No,Low,Low
Canteen,Friday,19,Normal,Yes,No,Medium,High
Cafeteria,Monday,7,Normal,Yes,No,Low,Low
Main Block,Monday,17,Hot,No,No,Medium,Medium
Canteen,Wednesday,19,Rain,No,No,Low,Low
Library,Tuesday,8,Hot,No,Yes,Low,High
Sports Complex,Thursday,17,Normal,Yes,No,Low,Medium
Main Block,Thursday,20,Normal,No,No,Low,Low
Cafeteria,Saturday,15,Normal,No,No,Low,Low
Canteen,Tuesday,8,Normal,No,No,Low,Low
Library,Thursday,11,Normal,Yes,No,Medium,High
Cafeteria,Thursday,15,Normal,No,No,Low,Low
Bus Stop,Thursday,17,Normal,No,No,Medium,Low
Bus Stop,Wednesday,11,Normal,No,No,Low,Low
Main Block,Monday,18,Normal,No,No,Medium,Medium
Canteen,Friday,17,Normal,Yes,No,Medium,Medium
Sports Complex,Saturday,19,Rain,No,No,Low,High
Cafeteria,Monday,17,Normal,Yes,No,Medium,High
Cafeteria,Friday,10,Hot,Yes,No,Low,Medium
Main Block,Wednesday,14,Normal,Yes,No,Medium,Medium
Library,Wednesday,14,Normal,No,Yes,Medium,High
Cafeteria,Thursday,13,Rain,Yes,No,Low,Medium
Main Block,Wednesday,17,Rain,No,No,Low,Low
Sports Complex,Tuesday,15,Normal,Yes,No,Low,Low
Canteen,Tuesday,14,Normal,Yes,No,Medium,High
Cafeteria,Monday,13,Rain,No,No,Low,Medium
Main Block,Saturday,11,Rain,No,No,Low,Low
Main Block,Wednesday,16,Rain,No,No,Low,Low
Main Block,Tuesday,15,Normal,Yes,No,Low,Low
Bus Stop,Saturday,10,Rain,Yes,No,Low,Low
Main Block,Monday,13,Normal,Yes,Yes,High,High
Main Block,Friday,18,Rain,Yes,No,Medium,High
Canteen,Wednesday,18,Rain,Yes,No,Low,High
Library,Friday,14,Hot,No,No,Low,Medium
Sports Complex,Tuesday,12,Normal,No,No,Low,Medium
Library,Wednesday,15,Normal,No,No,Low,Low
Sports Complex,Wednesday,9,Normal,No,Yes,Medium,High
Bus Stop,Thursday,20,Normal,No,No,Low,Low
Sports Complex,Tuesday,12,Normal,No,No,Low,High
Cafeteria,Tuesday,19,Normal,Yes,No,Medium,High
Main Block,Friday,10,Normal,No,No,Low,Low
Library,Thursday,11,Rain,No,No,Low,Low
Sports Complex,Monday,8,Normal,No,Yes,Low,Medium
Library,Monday,19,Normal,Yes,No,Medium,High
Bus Stop,Wednesday,8,Normal,Yes,No,Low,Medium
Bus Stop,Tuesday,13,Rain,No,No,Low,Low
Bus Stop,Thursday,13,Normal,No,No,Low,Medium
Main Block,Monday,16,Normal,No,Yes,Medium,Medium
Canteen,Thursday,7,Normal,No,No,Low,Low
Sports Complex,Thursday,13,Rain,No,No,Low,Low
Cafeteria,Saturday,9,Normal,No,No,Low,Low
Library,Wednesday,16,Normal,Yes,No,Medium,Medium
Main Block,Thursday,11,Rain,No,No,Low,Low
Canteen,Thursday,7,Normal,No,Yes,Medium,High
Cafeteria,Monday,9,Hot,No,No,Low,Low
Canteen,Thursday,8,Rain,No,Yes,Medium,High
Sports Complex,Tuesday,11,Normal,No,No,Low,Low
Cafeteria,Friday,17,Normal,No,Yes,Medium,Medium
Bus Stop,Monday,21,Hot,No,No,Low,Low
Canteen,Tuesday,20,Hot,Yes,No,Low,Low
Bus Stop,Wednesday,19,Rain,No,No,Medium,Medium
Sports Complex,Friday,19,Normal,Yes,No,Low,Medium
Bus Stop,Thursday,18,Hot,No,No,High,High
Bus Stop,Thursday,15,Normal,Yes,No,Low,Low
Canteen,Thursday,21,Normal,No,No,Low,Low
Sports Complex,Tuesday,14,Normal,No,No,Low,Medium
Bus Stop,Saturday,10,Rain,No,Yes,Low,Low
Main Block,Friday,18,Hot,No,No,Low,Medium
Library,Thursday,20,Normal,No,No,Low,Low
Library,Monday,8,Normal,No,No,Low,Medium
Main Block,Friday,19,Normal,No,Yes,Medium,High
Library,Friday,16,Normal,No,No,Low,Low
Sports Complex,Tuesday,9,Normal,No,No,Low,High
Sports Complex,Friday,11,Normal,No,No,Low,Low
Canteen,Saturday,14,Normal,No,No,Low,Low
Library,Monday,12,Hot,No,No,Medium,High
Cafeteria,Tuesday,8,Hot,No,No,Low,Low
Sports Complex,Tuesday,15,Normal,No,No,Low,Low
Library,Saturday,7,Normal,No,Yes,Low,Medium
Canteen,Wednesday,18,Normal,No,No,Medium,High
Main Block,Wednesday,8,Rain,No,No,Low,Low
Canteen,Thursday,21,Normal,No,No,Low,Low
Library,Saturday,19,Normal,No,No,Low,Medium
Bus Stop,Saturday,11,Normal,No,No,Low,Low
Canteen,Thursday,13,Rain,No,Yes,Medium,High
Main Block,Friday,18,Rain,Yes,No,Low,Medium
Cafeteria,Saturday,10,Normal,No,No,Low,Low
